SITE_NAME,SITE_ID,PROGRAM_NAME,BASE_EVENT_ID,TYPE,PUBLIC_REG_OPEN_DATE
"Capital City Volleyball ",3799,"B1 - Winter 2016",73433,LEAGUE,"2015-11-22 00:00:00"
"Capital City Volleyball ",3799,"B2 - Winter 2015",73434,LEAGUE,"2015-11-22 00:00:00"
"Capital City Volleyball ",3799,"B2 - Winter 2016",73542,LEAGUE,"2015-11-22 00:00:00"
"Capital City Volleyball ",3799,"C - Winter 2015",73436,LEAGUE,"2015-11-22 00:00:00"
"Capital City Volleyball ",3799,"C - Winter 2016",73543,LEAGUE,"2015-11-22 00:00:00"
"CenTex Pee Wee Football",4520,"2016: 10U Flag Football ",73073,LEAGUE,"2015-12-01 00:00:00"
"CenTex Pee Wee Football",4520,"2016: 10U Tackle Football ",73074,LEAGUE,"2015-12-01 00:00:00"
"CenTex Pee Wee Football",4520,"2016: 12U Tackle Football ",73076,LEAGUE,"2015-12-01 00:00:00"
"CenTex Pee Wee Football",4520,"2016: 6U Flag Football ",73071,LEAGUE,"2015-12-01 00:00:00"
"CenTex Pee Wee Football",4520,"2016: 8U Flag Football ",73072,LEAGUE,"2015-11-16 00:00:00"
"CenTex Pee Wee Football",4520,"2016: Cheerleading",73077,LEAGUE,"2015-12-01 00:00:00"
"Charlotte Women's Soccer League",5384,"cwsl-Classic Gold 2015 Winter 2",74793,LEAGUE,"2015-12-02 00:00:00"
"City Stars Lacrosse",5735,"Boys Summer 2016 JV and Varsity   ",73942,EVENT,"2015-11-23 00:00:00"
"City Stars Lacrosse",5735,"Boys Summer 2016 JV and Varsity- Black Friday to Cyber Monday November 27 to December 1, 2015.",74409,EVENT,"2015-11-27 00:00:00"
"Cliffside Park Fairview Little League",9016,"10U Travel",68669,LEAGUE,"2015-12-01 00:00:00"
"Cliffside Park Fairview Little League",9016,"10U Travel",68670,LEAGUE,"2015-12-01 00:00:00"
"Cliffside Park Fairview Little League",9016,"12U Travel",68671,LEAGUE,"2015-12-01 00:00:00"
"Cliffside Park Fairview Little League",9016,"12U Travel",68672,LEAGUE,"2015-12-01 00:00:00"
"Cliffside Park Fairview Little League",9016,"14U Travel",68675,LEAGUE,"2015-12-01 00:00:00"
"Cliffside Park Fairview Little League",9016,"Big League",68662,LEAGUE,"2015-12-01 00:00:00"
"Cliffside Park Fairview Little League",9016,"Big League",68663,LEAGUE,"2015-12-01 00:00:00"
"Cliffside Park Fairview Little League",9016,"Coach Pitch",68653,LEAGUE,"2015-12-01 00:00:00"
"Cliffside Park Fairview Little League",9016,Farm,68657,LEAGUE,"2015-12-01 00:00:00"
"Cliffside Park Fairview Little League",9016,Juniors,68660,LEAGUE,"2015-12-01 00:00:00"
"Cliffside Park Fairview Little League",9016,Majors,68659,LEAGUE,"2015-12-01 00:00:00"
"Cliffside Park Fairview Little League",9016,Minors,68658,LEAGUE,"2015-12-01 00:00:00"
"Cliffside Park Fairview Little League",9016,Seniors,68661,LEAGUE,"2015-12-01 00:00:00"
"Cliffside Park Fairview Little League",9016,"Softball 10U",68666,LEAGUE,"2015-12-01 00:00:00"
"Cliffside Park Fairview Little League",9016,"Softball 12U",68667,LEAGUE,"2015-12-01 00:00:00"
"Cliffside Park Fairview Little League",9016,"Softball 14U",68668,LEAGUE,"2015-12-01 00:00:00"
"Cliffside Park Fairview Little League",9016,"Softball Clinic",68952,LEAGUE,"2015-12-01 00:00:00"
"Cliffside Park Fairview Little League",9016,Tball,68648,LEAGUE,"2015-12-01 00:00:00"
"Coatesville Youth Lacrosse",9052,"3-4th grade Girls Spring",74963,LEAGUE,"2015-11-19 00:00:00"
"Coatesville Youth Lacrosse",9052,"5-6th grade Girls Spring",74965,LEAGUE,"2015-11-19 00:00:00"
